French;verb;venir
French;verb;tenir
French;verb;voir
French;verb;pouvoir
French;verb;savoir
French;verb;valoir
French;noun;oeil
French;noun;cheval
French;noun;travail
French;noun;bijou
French;noun;genou
French;noun;hibou
French;noun;caillou
French;noun;chou
French;noun;pou
French;noun;bail
French;adj;beau
French;adj;vieux
French;adj;nouveau
French;adj;fou
French;adj;mou
French;adj;doux
French;adj;blanc
French;adj;frais
French;adj;public
French;adj;long
French;verb;prendre en compte
French;verb;mettre en place
French;verb;faire face
French;verb;tenir compte
French;verb;donner lieu
French;verb;mettre fin
French;verb;avoir besoin
French;verb;passer à cote
French;verb;aller de soi
French;verb;tomber en panne
French;noun;prise de decision
French;noun;mise en oeuvre
French;noun;point de vue
French;noun;prise en charge
French;noun;salle de reunion
French;noun;chef de projet
French;noun;date limite
French;noun;zone de confort
French;noun;plan d'action
French;noun;etat d'esprit
French;adj;pret à l'emploi
French;adj;facile à utiliser
French;adj;riche en donnees
French;adj;pauvre en ressources
French;adj;ouvert au public
French;adj;difficile à atteindre
French;adj;bon à savoir
French;adj;proche de la realite
French;adj;plein de sens
French;adj;respectueux de l'environnement
